Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LogisticRegression,1.0,1.0,1.0,1.0,0.1255943775177002
RidgeClassifier,1.0,1.0,1.0,1.0,0.11942553520202637
RidgeClassifierCV,0.99,0.9897959183673469,0.9897959183673469,0.9899969972975677,0.2854490280151367
LinearSVC,0.98,0.9795918367346939,0.9795918367346939,0.9799839743589743,0.3883531093597412
CalibratedClassifierCV,0.96,0.959983993597439,0.9599839935974389,0.96,1.6201505661010742
PassiveAggressiveClassifier,0.96,0.9591836734693877,0.9591836734693877,0.9599036531513448,0.15025949478149414
SVC,0.95,0.9505802320928372,0.9505802320928372,0.94998499849985,0.14056658744812012
Perceptron,0.95,0.949779911964786,0.9497799119647861,0.9499849864878391,0.11227011680603027
AdaBoostClassifier,0.95,0.949779911964786,0.9497799119647861,0.9499849864878391,4.951277017593384
ExtraTreesClassifier,0.94,0.9391756702681072,0.9391756702681072,0.9398554797270173,0.2794818878173828
SGDClassifier,0.94,0.9391756702681072,0.9391756702681072,0.9398554797270173,0.10059285163879395
NuSVC,0.93,0.930172068827531,0.9301720688275311,0.9300070007000701,0.13791823387145996
LGBMClassifier,0.93,0.9297719087635055,0.9297719087635054,0.9299789810829747,1.5784885883331299
BaggingClassifier,0.93,0.9297719087635055,0.9297719087635054,0.9299789810829747,3.0520949363708496
RandomForestClassifier,0.93,0.9297719087635055,0.9297719087635054,0.9299789810829747,1.0285694599151611
DecisionTreeClassifier,0.92,0.9203681472589036,0.9203681472589036,0.92,0.6449184417724609
XGBClassifier,0.92,0.9199679871948779,0.919967987194878,0.92,4.604876518249512
ExtraTreeClassifier,0.92,0.9187675070028011,0.9187675070028011,0.9196135265700482,0.05207657814025879
LinearDiscriminantAnalysis,0.91,0.9081632653061225,0.9081632653061225,0.9090980868508959,0.2711374759674072
KNeighborsClassifier,0.9,0.898359343737495,0.898359343737495,0.8991919191919192,0.11465597152709961
GaussianNB,0.76,0.7575030012004802,0.7575030012004802,0.7558873929008567,0.05996298789978027
QuadraticDiscriminantAnalysis,0.76,0.7555022008803521,0.7555022008803522,0.746553480475382,0.3099846839904785
NearestCentroid,0.74,0.7374949979991997,0.7374949979991997,0.7355446756425948,0.09526348114013672
BernoulliNB,0.68,0.6802721088435374,0.6802721088435375,0.68,0.1519327163696289
LabelPropagation,0.68,0.673469387755102,0.673469387755102,0.6406331976481229,0.16151714324951172
LabelSpreading,0.68,0.673469387755102,0.673469387755102,0.6406331976481229,0.08318805694580078
DummyClassifier,0.51,0.5,0.5,0.34450331125827816,0.06010031700134277
