Model,Accuracy,Balanced Accuracy,F1 Score,Time Taken
LinearDiscriminantAnalysis,0.9130434782608695,0.9103972876856172,0.9158634126655719,0.6072418689727783
RidgeClassifierCV,0.8695652173913043,0.8565819192249399,0.8712069191084773,0.23110032081604004
ExtraTreesClassifier,0.8695652173913043,0.8531909071096714,0.8681880485292609,0.6278977394104004
BaggingClassifier,0.8641304347826086,0.8449477200907407,0.8643690557812447,13.110031127929688
RandomForestClassifier,0.8586956521739131,0.8414508355869912,0.859099654,2.0703330039978027
LGBMClassifier,0.8532608695652174,0.8384604049649816,0.8564589414127601,50.83592963218689
XGBClassifier,0.8478260869565217,0.8341314006359773,0.848985841,63.157596588134766
ExtraTreeClassifier,0.8043478260869565,0.8063575440577729,0.8069070111872341,0.077739716
CalibratedClassifierCV,0.8206521739130435,0.801393305,0.8239772921227323,96.90952968597412
RidgeClassifier,0.8097826086956522,0.7900296690342455,0.8111798381195338,0.13753914833068848
LinearSVC,0.7771739130434783,0.7608763757219136,0.7883999825401662,20.579540014266968
DecisionTreeClassifier,0.782608696,0.7512357970023874,0.778169927,1.4461839199066162
LabelSpreading,0.7065217391304348,0.6893691739229496,0.7365480863984588,0.15747904777526855
LabelPropagation,0.7065217391304348,0.6893691739229496,0.7365480863984588,0.15897488594055176
LogisticRegression,0.7282608695652174,0.6769734365558164,0.7321936208922217,0.7120130062103271
KNeighborsClassifier,0.6195652173913043,0.573348515,0.6185185914259071,0.10497188568115234
SGDClassifier,0.5760869565217391,0.5145899580968231,0.5909405541979352,0.7933387756347656
PassiveAggressiveClassifier,0.5597826086956522,0.4818679604148711,0.556116726,1.3492286205291748
SVC,0.5271739130434783,0.47092967101548344,0.5167920303315372,0.5897548198699951
Perceptron,0.45108695652173914,0.41251535459201366,0.46394172112416715,0.5424354076385498
GaussianNB,0.3858695652173913,0.36247981614114333,0.35125111,0.14648008346557617
QuadraticDiscriminantAnalysis,0.375,0.3286854735653363,0.3445506505240278,0.3108093738555908
BernoulliNB,0.3641304347826087,0.3158495299513606,0.3191174827443069,0.11063027381896973
NearestCentroid,0.358695652,0.29831186166998525,0.3514609737430736,0.081761837
AdaBoostClassifier,0.2717391304347826,0.20108695652173916,0.16312797801523035,18.241345167160034
DummyClassifier,0.125,0.090909091,0.027777777777777776,0.078738689
